Variance,Label
4.36005173,Negative
6.44369282,Negative
6.44369282,Negative
6.44369282,Negative
8.90376051,Negative
11.7277141,Negative
11.7277141,Negative
8.90376051,Negative
6.44369282,Negative
6.44369282,Negative
6.44369282,Negative
6.44369282,Negative
14.9034202,Negative
18.4191383,Negative
22.2635068,Negative
26.4255292,Negative
30.894562,Negative
35.6603015,Negative
35.6603015,Negative
30.894562,Negative
30.894562,Negative
30.894562,Negative
22.2635068,Negative
22.2635068,Negative
22.2635068,Negative
22.2635068,Negative
14.9034202,Negative
11.7277141,Negative
14.9034202,Negative
11.7277141,Negative
11.7277141,Negative
14.9034202,Negative
18.4191383,Negative
18.4191383,Negative
11.7277141,Negative
18.4191383,Negative
14.9034202,Negative
6.44369282,Negative
6.44369282,Negative
8.90376051,Negative
11.7277141,Negative
8.90376051,Negative
6.44369282,Negative
6.44369282,Negative
8.90376051,Negative
11.7277141,Negative
11.7277141,Negative
8.90376051,Negative
8.90376051,Negative
11.7277141,Negative
11.7277141,Negative
14.9034202,Negative
14.9034202,Negative
11.7277141,Negative
18.4191383,Negative
22.2635068,Negative
18.4191383,Negative
22.2635068,Negative
35.6603015,Negative
40.7127723,Negative
40.7127723,Negative
30.894562,Negative
26.4255292,Negative
22.2635068,Negative
2.66580049,Negative
0.0576511825,Negative
8.90376051,Negative
26.4255292,Negative
26.4255292,Negative
26.4255292,Negative
26.4255292,Negative
40.7127723,Negative
46.0423161,Negative
46.0423161,Negative
51.6395801,Negative
46.0423161,Negative
46.0423161,Negative
57.4955071,Negative
57.4955071,Negative
57.4955071,Negative
57.4955071,Negative
63.6013246,Negative
76.5289098,Negative
76.5289098,Negative
83.3344724,Negative
83.3344724,Negative
69.9485358,Negative
69.9485358,Negative
69.9485358,Negative
69.9485358,Negative
76.5289098,Negative
76.5289098,Negative
76.5289098,Negative
76.5289098,Negative
63.6013246,Negative
57.4955071,Negative
57.4955071,Negative
57.4955071,Negative
57.4955071,Negative
57.4955071,Negative
51.6395801,Negative
40.7127723,Negative
35.6603015,Negative
35.6603015,Negative
40.7127723,Negative
35.6603015,Negative
46.0423161,Negative
63.6013246,Negative
57.4955071,Negative
46.0423161,Negative
46.0423161,Negative
46.0423161,Negative
46.0423161,Negative
35.6603015,Negative
26.4255292,Negative
30.894562,Negative
26.4255292,Negative
18.4191383,Negative
14.9034202,Negative
11.7277141,Negative
8.90376051,Negative
8.90376051,Negative
11.7277141,Negative
11.7277141,Negative
11.7277141,Negative
11.7277141,Negative
8.90376051,Negative
0.0556927829,Negative
34.2902728,Negative
75.0310367,Negative
18.077296,Negative
0.499528673,Negative
2.66580049,Negative
2.66580049,Negative
6.44369282,Negative
8.90376051,Negative
14.9034202,Negative
26.4255292,Negative
35.6603015,Negative
46.0423161,Negative
30.894562,Negative
18.4191383,Negative
14.9034202,Negative
7.30970288,Negative
96.7068978,Negative
85.457894,Negative
48.4104037,Negative
41.0039773,Negative
28.2460698,Negative
1.46078553,Negative
1.37434068,Negative
2.66580049,Negative
6.44369282,Negative
8.90376051,Negative
14.9034202,Negative
18.4191383,Negative
30.894562,Negative
46.0423161,Negative
51.6395801,Negative
63.6013246,Negative
57.4955071,Negative
63.6013246,Negative
76.5289098,Negative
69.9485358,Negative
57.4955071,Negative
51.6395801,Negative
46.0423161,Negative
46.0423161,Negative
51.6395801,Negative
40.7127723,Negative
40.7127723,Negative
46.0423161,Negative
51.6395801,Negative
46.0423161,Negative
46.0423161,Negative
46.0423161,Negative
46.0423161,Negative
51.6395801,Negative
46.0423161,Negative
40.7127723,Negative
35.6603015,Negative
30.894562,Negative
22.2635068,Negative
22.2635068,Negative
18.4191383,Negative
18.4191383,Negative
18.4191383,Negative
2.66580049,Negative
7.30970288,Negative
7.30970288,Negative
2.66580049,Negative
8.90376051,Negative
14.9034202,Negative
35.6603015,Negative
35.6603015,Negative
26.4255292,Negative
35.6603015,Negative
46.0423161,Negative
30.894562,Negative
35.6603015,Negative
51.6395801,Negative
35.6603015,Negative
18.4191383,Negative
14.9034202,Negative
11.7277141,Negative
6.44369282,Negative
8.90376051,Negative
1.37434068,Negative
7.30970288,Negative
1.37434068,Negative
18.4191383,Negative
14.9034202,Negative
18.4191383,Negative
18.4191383,Negative
26.4255292,Negative
30.894562,Negative
35.6603015,Negative
30.894562,Negative
22.2635068,Negative
4.36005173,Negative
1.46078553,Negative
0.499528673,Negative
11.7277141,Negative
6.44369282,Negative
4.36005173,Negative
1.37434068,Negative
2.66580049,Negative
8.90376051,Negative
11.7277141,Negative
8.90376051,Negative
1.46078553,Negative
28.2460698,Negative
56.5336132,Negative
96.7068978,Negative
135.680331,Negative
85.457894,Negative
41.0039773,Negative
18.077296,Negative
0.499528673,Negative
6.44369282,Negative
2.66580049,Negative
2.66580049,Negative
0.0576511825,Negative
34.2902728,Negative
150.517011,Negative
183.157235,Negative
166.331095,Negative
96.7068978,Negative
7.30970288,Negative
1.37434068,Negative
0.0556927829,Negative
0.0576511825,Negative
0.0556927829,Negative
1.37434068,Negative
2.66580049,Negative
2.66580049,Negative
6.44369282,Negative
6.44369282,Negative
4.36005173,Negative
4.36005173,Negative
1.37434068,Negative
2.66580049,Negative
6.44369282,Negative
6.44369282,Negative
6.44369282,Negative
8.90376051,Negative
8.90376051,Negative
8.90376051,Negative
11.7277141,Negative
11.7277141,Negative
11.7277141,Negative
6.44369282,Negative
0.520730549,Negative
10.3274958,Negative
28.2460698,Negative
96.7068978,Negative
135.680331,Negative
108.806862,Negative
75.0310367,Negative
48.4104037,Negative
65.3985417,Negative
22.8489562,Negative
2.66580049,Negative
30.894562,Negative
35.6603015,Negative
22.2635068,Negative
22.2635068,Negative
30.894562,Negative
40.7127723,Negative
30.894562,Negative
30.894562,Negative
35.6603015,Negative
30.894562,Negative
30.894562,Negative
30.894562,Negative
35.6603015,Negative
46.0423161,Negative
46.0423161,Negative
46.0423161,Negative
46.0423161,Negative
46.0423161,Negative
46.0423161,Negative
51.6395801,Negative
51.6395801,Negative
63.6013246,Negative
69.9485358,Negative
63.6013246,Negative
51.6395801,Negative
35.6603015,Negative
30.894562,Negative
26.4255292,Negative
22.2635068,Negative
26.4255292,Negative
30.894562,Negative
30.894562,Negative
35.6603015,Negative
35.6603015,Negative
46.0423161,Negative
51.6395801,Negative
51.6395801,Negative
57.4955071,Negative
51.6395801,Negative
51.6395801,Negative
46.0423161,Negative
51.6395801,Negative
51.6395801,Negative
51.6395801,Negative
51.6395801,Negative
51.6395801,Negative
51.6395801,Negative
46.0423161,Negative
46.0423161,Negative
46.0423161,Negative
6.44369282,Negative
0.499528673,Negative
40.7127723,Negative
57.4955071,Negative
40.7127723,Negative
46.0423161,Negative
51.6395801,Negative
57.4955071,Negative
69.9485358,Negative
63.6013246,Negative
46.0423161,Negative
18.4191383,Negative
1.46078553,Negative
48.4104037,Negative
48.4104037,Negative
0.0576511825,Negative
18.4191383,Negative
14.9034202,Negative
14.9034202,Negative
18.4191383,Negative
0.520730549,Negative
13.9101997,Negative
0.520730549,Negative
0.499528673,Negative
2.66580049,Negative
0.0556927829,Negative
2.89421906,Negative
4.83800352,Negative
7.30970288,Negative
13.9101997,Negative
10.3274958,Negative
10.3274958,Negative
34.2902728,Negative
18.077296,Negative
1.46078553,Negative
1.46078553,Negative
0.0576511825,Negative
2.66580049,Negative
8.90376051,Negative
18.4191383,Negative
26.4255292,Negative
8.90376051,Negative
0.499528673,Negative
4.36005173,Negative
35.6603015,Negative
40.7127723,Negative
22.2635068,Negative
30.894562,Negative
40.7127723,Negative
40.7127723,Negative
40.7127723,Negative
51.6395801,Negative
51.6395801,Negative
46.0423161,Negative
46.0423161,Negative
46.0423161,Negative
40.7127723,Negative
46.0423161,Negative
46.0423161,Negative
30.894562,Negative
6.44369282,Negative
0.0576511825,Negative
2.89421906,Negative
1.46078553,Negative
1.46078553,Negative
4.83800352,Negative
4.83800352,Negative
10.3274958,Negative
34.2902728,Negative
75.0310367,Negative
96.7068978,Negative
121.787671,Negative
108.806862,Negative
121.787671,Negative
121.787671,Negative
75.0310367,Negative
48.4104037,Negative
28.2460698,Negative
18.077296,Negative
10.3274958,Negative
4.83800352,Negative
4.83800352,Negative
10.3274958,Negative
22.8489562,Negative
48.4104037,Negative
65.3985417,Negative
85.457894,Negative
65.3985417,Negative
48.4104037,Negative
41.0039773,Negative
28.2460698,Negative
13.9101997,Negative
13.9101997,Negative
28.2460698,Negative
48.4104037,Negative
56.5336132,Negative
34.2902728,Negative
41.0039773,Negative
48.4104037,Negative
75.0310367,Negative
96.7068978,Negative
85.457894,Negative
85.457894,Negative
85.457894,Negative
108.806862,Negative
121.787671,Negative
150.517011,Negative
201.031405,Negative
219.99096,Negative
219.99096,Negative
166.331095,Negative
121.787671,Negative
108.806862,Negative
121.787671,Negative
121.787671,Negative
108.806862,Negative
121.787671,Negative
121.787671,Negative
96.7068978,Negative
85.457894,Negative
85.457894,Negative
75.0310367,Negative
96.7068978,Negative
121.787671,Negative
108.806862,Negative
65.3985417,Negative
41.0039773,Negative
48.4104037,Negative
85.457894,Negative
108.806862,Negative
96.7068978,Negative
